ID,URL,ciudad,Zona,Barrio,Cordenada_latitud,cordenada_longitud,Tipo,piso,Estrato,Area_contruida,parqueaderos,Baños,Habitaciones,Precio
1564437042-767,https://www.fincaraiz.com.co/casa-en-venta/cali/granada-det-4778342.aspx,Cali,Zona Norte,granada  ,3.427057505,-76.5376358,Casa,,6,450,,0,14,700000000
1564442091-11865,https://www.fincaraiz.com.co/apartamento-en-venta/cali/alferez_real-det-4633336.aspx,Cali,Zona Sur,alférez real ,3.44923687,-76.53764343,Apartamento,8,3,72,2,2,3,210000000
1564442091-14552,https://www.fincaraiz.com.co/apartamento-en-venta/cali/zona_oeste-det-3943585.aspx,Cali,Zona Oeste,zona oeste ,3.406083584,-76.53770447,Apartamento,2,6,138,2,2,2,500000000
1564442091-6199,https://www.fincaraiz.com.co/apartamento-en-venta/cali/pance-det-3587813.aspx,Cali,Zona Sur,pance  ,3.452790022,-76.53772736,Apartamento,3,6,213,3,5,4,870000000
1564442091-8651,https://www.fincaraiz.com.co/apartamento-en-venta/cali/ciudad_jardin-det-3587806.aspx,Cali,Zona Sur,ciudad jardín ,3.452790022,-76.53772736,Apartamento,2,6,152,3,4,3,650000000
1564437042-2847,https://www.fincaraiz.com.co/casa-en-venta/cali/acopi-det-4657992.aspx,Cali,Zona Norte,acopi  ,3.555380344,-76.53778839,Casa,,4,330,,4,2,650000000
1564442091-13575,https://www.fincaraiz.com.co/apartamento-en-venta/cali/santa_monica_popular-det-4203636.aspx,Cali,Zona Oriente,santa mónica popular,3.437206745,-76.53781128,Apartamento,2,3,55,,1,3,117000000
1564442091-9471,https://www.fincaraiz.com.co/apartamento-en-venta/cali/juanambu-det-4745208.aspx,Cali,Zona Norte,juanambú  ,3.457363367,-76.53782654,Apartamento,,6,130,2,5,4,380000000
1564437042-2816,https://www.fincaraiz.com.co/casa-en-venta/cali/zona_sur-det-4673745.aspx,Cali,Zona Sur,zona sur ,3.425895452,-76.53783417,Casa,1,4,390,,7,7,510000000
1564437042-5144,https://www.fincaraiz.com.co/casa-en-venta/cali/barrio_eucaristico-det-4157645.aspx,Cali,Zona Sur,barrio eucarístico ,3.425815582,-76.53786469,Casa,1,4,392,,2,3,500000000
1564437042-5136,https://www.fincaraiz.com.co/casa-en-venta/cali/ciudad_jardin-det-4043953.aspx,Cali,,ciudad jardin ,3.4514184,-76.53787231,Casa,,6,472,4,2,2,1650000000
1564437042-4447,https://www.fincaraiz.com.co/casa-en-venta/cali/limonar-det-4433952.aspx,Cali,Zona Sur,el limonar ,3.40084672,-76.53788757,Casa,2,5,305,4,5,6,650000000
1564442091-6617,https://www.fincaraiz.com.co/apartamento-en-venta/cali/zona_oeste-det-4712244.aspx,Cali,Zona Oeste,zona oeste ,3.456535101,-76.53788757,Apartamento,1,6,85,2,3,2,420000000
1564442091-6274,https://www.fincaraiz.com.co/apartamento-en-venta/cali/juanambu-det-4667184.aspx,Cali,Zona Norte,juanambú  ,3.456512928,-76.53791046,Apartamento,1,6,84,2,3,2,420000000
1564437042-1788,https://www.fincaraiz.com.co/casa-en-venta/cali/barrio_eucaristico-det-4719923.aspx,Cali,,barrio eucarístico ,3.425184011,-76.53791809,Casa,,4,196,1,3,4,500000000
1564442091-12606,https://www.fincaraiz.com.co/apartamento-en-venta/cali/zona_oeste-det-4578387.aspx,Cali,Zona Oeste,zona oeste ,3.436101198,-76.53792572,Apartamento,4,5,106,2,2,3,255000000
1564442091-10920,https://www.fincaraiz.com.co/apartamento-en-venta/cali/santa_anita-det-4681800.aspx,Cali,Zona Sur,santa anita ,3.405874014,-76.53792572,Apartamento,4,5,84,2,2,3,259000000
1564442091-6078,https://www.fincaraiz.com.co/apartamento-en-venta/cali/centenario-det-4502036.aspx,Cali,Zona Norte,Centenario  ,3.454264402,-76.53792572,Apartamento,11,5,95,1,3,2,310000000
1564437042-1748,https://www.fincaraiz.com.co/casa-en-venta/cali/limonar-det-4687944.aspx,Cali,Zona Sur,el limonar ,3.400551081,-76.5379715,Casa,3,5,400,7,5,5,630000000
1564442091-9016,https://www.fincaraiz.com.co/apartamento-en-venta/cali/santa_teresita-det-3864444.aspx,Cali,Zona Oeste,santa teresita ,3.45139432,-76.5379715,Apartamento,,6,116,2,3,3,530000000
1564442091-11372,https://www.fincaraiz.com.co/apartamento-en-venta/cali/santa_anita-det-4614022.aspx,Cali,Zona Sur,santa anita ,3.404614925,-76.5379715,Apartamento,7,5,94,1,2,3,310000000
1564442091-10110,https://www.fincaraiz.com.co/apartamento-en-venta/cali/juanambu-det-4717654.aspx,Cali,Zona Norte,juanambú  ,3.458248377,-76.5379715,Apartamento,9,6,248.7,2,5,4,1100000000
1564442091-9723,https://www.fincaraiz.com.co/apartamento-en-venta/cali/santa_anita-det-4553087.aspx,Cali,Zona Sur,santa anita ,3.40517211,-76.53797913,Apartamento,3,4,80,1,2,3,197000000
1564437042-3895,https://www.fincaraiz.com.co/casa-en-venta/cali/santa_anita-det-4612832.aspx,Cali,Zona Sur,santa anita ,3.407000065,-76.53800201,Casa,,4,120,1,3,4,240000000
1564437042-343,https://www.fincaraiz.com.co/casa-en-venta/cali/san_vicente-det-3546300.aspx,Cali,Zona Norte,san vicente ,3.448999882,-76.53800201,Casa,2,5,776,6,6,10,1530000000
1564437042-5805,https://www.fincaraiz.com.co/casa-en-venta/cali/san_fernando-det-4122568.aspx,Cali,Zona Sur,san fernando ,3.436000109,-76.53800201,Casa,2,4,260,3,5,5,530000000
1564437042-1537,https://www.fincaraiz.com.co/casa-en-venta/cali/san_cayetano-det-4790162.aspx,Cali,Zona Oeste,san cayetano ,3.444000006,-76.53800201,Casa,3,3,560,2,3,10,430000000
1564437042-1682,https://www.fincaraiz.com.co/casa-en-venta/cali/san_cayetano-det-4488868.aspx,Cali,Zona Norte,san cayetano ,3.444000006,-76.53800201,Casa,,1,350,,3,7,540000000
1564437042-2327,https://www.fincaraiz.com.co/casa-en-venta/cali/san_antonio-det-4559241.aspx,Cali,Zona Oeste,san antonio ,3.447000027,-76.53800201,Casa,1,3,203,1,2,4,650000000
1564437042-1346,https://www.fincaraiz.com.co/casa-en-venta/cali/san_antonio-det-4355755.aspx,Cali,Zona Centro,san antonio ,3.447000027,-76.53800201,Casa,,3,200,2,4,5,780000000
